graph, omega, integrated_populations, integrated_coherences, final_sink_pop, time, t2_population 
graphs/A1.mtx, 0.01, 2.2828522760625676, 0.8416954433954335, 0.9999999999999631, 55.5419921875, 0.9999999999999631
graphs/A1.mtx, 1.0, 2.9970782550092654, 0.0, 1.0000000000000893, 70.9228515625, 1.0000000000000893
graphs/A2.mtx, 0.01, 43.16844743874955, 26.28742324014243, 0.9999999999999983, 1623.53515625, 0.9999999999999983
graphs/A2.mtx, 1.0, 8.000823635620517, 0.0, 0.9999999999999861, 186.279296875, 0.9999999999999861
graphs/A3.mtx, 0.01, 99.46955927855319, 86.97466956571029, 0.9999999999999943, 2525.0244140625, 0.9999999999999943
graphs/A3.mtx, 1.0, 19.00033748707883, 0.0, 1.0000000000000262, 440.0634765625, 1.0000000000000262
graphs/D1.mtx, 0.01, 66.297955937568, 53.930205950575235, 0.999999999999982, 1915.771484375, 0.999999999999982
graphs/D1.mtx, 1.0, 5.997050950334434, 0.0, 1.0000000000000424, 152.099609375, 1.0000000000000424
graphs/D2.mtx, 0.01, 142.13399278202135, 140.54976752212045, 0.999999999999525, 3350.4638671875, 0.999999999999525
graphs/D2.mtx, 1.0, 17.000048978840102, 0.0, 0.9999999999999976, 410.15625, 0.9999999999999976
graphs/D3.mtx, 0.01, 252.76431510846942, 270.06792096008843, 0.9999999999994782, 5477.294921875, 1.0
graphs/D3.mtx, 1.0, 40.00023512569034, 0.0, 0.9999999999999952, 934.814453125, 0.9999999999999952
